License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
207905;WING GONG LAUNDRY INC;;240;HURON STREET;;BKLYN
308861;LO,YUK KWAI;9049 LAUNDROMAT;9049;FORT HAMILTON PARKWAY;;BROOKLYN
523879;LEE, JUNG BUM;LEE LAUNDROMAT;73-08;BELL BOULEVARD;;QUEENS
529419;NEWTON, KATHERINE C;;264;GATES AVENUE;;BROOKLYN
572470;DEFILIPPO, JOSEPHINE;AN JO LAUNDRY & CLEANERS;2376;WEST STREET;;BKLYN
574975;LUCKY MACHINE WASH CORP;;2325;   2 AVENUE;;NEW YORK
739785;ENG, SUSAN MEI SIN;;1111;CLARKSON AVE;;BROOKLYN
762700;COSMO'S LAUNDERAMA INC;;142;   1 AVENUE;;NEW YORK
783976;HAPPY WASKO CORP;;2004;   2 AVENUE;;NEW YORK
784251;DAPPER DUDS LAUNDROMAT INC;;1549;   2 AVENUE;;NEW YORK
788138;FOURTEENTH AVENUE   COIN-OP INC;;5910;  14 AVENUE;;BROOKLYN
803996;S.A.B. COIN-OP.I, INC.;YOUR PROFESSIONAL   WASH & DRY;5611;   8 AVENUE;;BROOKLYN
817219;111-40 LEFFERTS BLVD. LAUNDROMAT CORP;;111-40;LEFFERTS BOULEVARD;;SO. OZONE PARK
819962;CHO, YOUNG JIN;D & J LAUNDROMAT;1602;MERMAID AVENUE;;BROOKLYN
837013;FRIENDLY DRY CLEANERLAUNDROMAT INC;FRIENDLY LAUNDROMAT;1936;VICTORY BOULEVARD;;STATEN ISLAND
853212;1590 WHITE PLAINS ROAD LAUNDROMAT CORPORATION;;1590;WHITE PLAINS ROAD;;BRONX
854391;DEMATTEO, MARIO &   DEMATTEO, LEON;MAT-LEE WASH-N-DRY;704;EAST  187 STREET;;BRONX
884442;RHEE, CHUNG;DAISY FRESH DRIVE   IN CLEANER;225-06;MERRICK BOULEVARD;;LAURELTON
891437;PARK, CHUL HEE;GENTLE CLEANERS;1140;BAY STREET;;STATEN ISLAND
891783;BRONXWOOD LAUNDER CENTER CORP;;3951;BRONXWOOD AVE;3951-53;BRONX
895418;C U LAUNDERETTE INC;;244;WEST   72 STREET;;NEW YORK
896392;LEU SNOW WHITE      LAUNDROMAT INC;;64-19;MYRTLE AVENUE;;RIDGEWOOD
900404;BERNAL, ANDRES;S O S LAUNDROMAT;332;KEAP STREET;;BROOKLYN
900745;V H A CLEANERS CORP;;78-39;SPRINGFIELD BOULEVARD;;BAYSIDE
900946;SCIARRINO, VITO;EXPRESS LAUNDRY;2837;HARWAY AVENUE;;BROOKLYN
