Store Name;Street Address;;Borough;Latitude;Longitude;Community Board;Council District
SIRAH 1720 LLC;535 MARCY AVE;;Brooklyn;40.696.961;-73.949.512;3;36
FIRST STOP GROCERY INC;643 MARCY AVE;;Brooklyn;40.692.552;-73.948.632;3;36
AANDE DIRECT LLC;40 LEWIS AVE;;Brooklyn;40.696.576;-73.937.777;3;36
CENTRAL ORGANIC;67 CENTRAL AVE;;Brooklyn;40.701.096;-73.930.445;4;34
194 THROOP FOOD CORP;777 PARK AVE;;Brooklyn;40.698.191;-73.944.311;3;36
BROADWAY ORGANIC DELI INC;799 BROADWAY;;Brooklyn;40.699.745;-73.940.176;4;34
MLD 91 FOOD CORP;91 HUMBOLDT ST;;Brooklyn;40.704.472;-73.941.009;1;34
GRAHAM STOP ONE DELI INC;146 GRAHAM AVE;;Brooklyn;4.070.643;-73.943.045;1;34
BOGOPA MANHATTAN INC;21 MANHATTAN AVE;;Brooklyn;40.702.939;-73.944.235;1;34
LEE HEYWARD GROCERY INC;198 LEE AVE;;Brooklyn;40.701.855;-73.955.636;1;33
J A TOMPKINS FOOD CORP;920 MYRTLE AVE;;Brooklyn;40.695.814;-73.945.344;3;36
JRM DELI GROCERY CORP;98 MARCUS GARVEY BLVD;;Brooklyn;40.695.505;-73.940.544;3;36
AFS MARKET INC;1102 MYRTLE AVE;;Brooklyn;40.696.817;-73.936.605;3;36
GREEN CORNER OF NY LLC;801 FLUSHING AVE;;Brooklyn;40.701.019;-73.940.705;1;34
726 MEAT MARKET INC;726 BROADWAY;;Brooklyn;40.701.171;-73.942.667;1;33
711 BROOKLYN DELI CORP;711 FLUSHING AVE;;Brooklyn;40.700.485;-73.943.959;1;33
THE LUNCH BOX DELI CORP;204 BUSHWICK AVE;;Brooklyn;40.708.767;-73.940.031;1;34
PAULA MARKET AND DELI CORP;276 HUMBOLDT ST;;Brooklyn;40.711.173;-73.942.114;1;34
SEM SEM DELI CORP;75 HUMBOLDT ST;;Brooklyn;40.704.022;-73.940.926;1;34
LORIMER DELI FOOD CORP;400 LORIMER ST;;Brooklyn;40.708.821;-73.948.497;1;34
ORANGE TREE ORGANIC MARKET CORP;121 GRAHAM AVE;;Brooklyn;40.705.994;-73.942.995;1;34
128 T EDGECOMBE DELI CORP;128 EDGECOMBE AVE;;New York;40.820.961;-73.945.071;10;9
135 FUTURE LANDM CORP;24 WEST 135TH ST;;New York;40.813.209;-73.938.756;10;9
135TH STREET DELI AND GROCERY CORP;266 WEST 135TH ST;;New York;40.816.056;-73.945.505;10;9
141 FINEST DELI CORP;332 WEST 141ST ST;;New York;40.820.958;-73.945.375;10;9
2278 DELI AND GROCERY INC;2278 7TH AVE;;New York;40.814.546;-73.944.268;10;9
477 FOOD CORP;477 LENOX AVE;;New York;40.813.274;-7.394.148;10;9
ADAM 1 FOOD CENTER INC;2657 FREDERICK DOUGLAS BLVD;;New York;40.820.741;-73.943.464;10;9
BIG APPLE GRILL DELI INC;521 LENOX AVE;;New York;40.814.873;-73.940.311;10;9
EL PATIO DELI CORP;2082 MADISON AVE;;New York;40.809.627;-7.393.782;11;9
ESAYI CORP;2461 ADAM CLAYTON POWELL JR BLVD;;New York;40.820.418;-73.939.952;10;9
FUNFAIR DELI CORP;537 LENOX AVE;;New York;40.815.499;-73.939.852;10;9
GOLDEN DELI GROCERY CORP;2210 5TH AVE;;New York;40.812.473;-73.937.835;10;9
HARLEM EMPIRE DELI INC;251 WEST 135TH ST;;New York;40.815.938;-7.394.518;10;9
JANET FOOD CORP;2630 FREDERICK DOUGLASS BLVD;;New York;40.819.764;-73.944.155;10;9
K AND S DELI CORP;429 LENOX AVE;;New York;40.811.888;-73.942.496;10;9
LENOX AND 132ND FOOD CORP;448 LENOX AVE;;New York;40.812.396;-73.942.095;10;9
LINCOLN DELI GROCERY INC 1;2095 MADISON AVE;;New York;40.809.959;-73.937.238;11;9
MANDS FOOD CORP;2482 7TH AVE;;New York;40.821.167;-73.939.431;10;9
MR 2497 FOOD CORP;2497 7TH AVE;;New York;40.821.482;-73.939.178;10;9
NUNEZ DOMINGO;2591 8TH AVE;;New York;40.818.518;-73.945.088;10;9
RIMAR GOURMET DELI INC;2611 FREDERICK DOUGLAS BLVD;;New York;40.819.097;-73.944.665;10;9
ROSANNA FOOD CORP;592 LENOX AVE;;New York;40.817.088;-73.938.669;10;9
1029 FOOD PLAZA INC;122 EAST 181ST ST;;Bronx;40.854.853;-73.903.444;5;14
109 AJ DELI GROCERY CORP;109 EAST TREMONT AVE;;Bronx;40.850.673;-73.907.372;5;14
48 BURNSIDE FOOD CORP;40 WEST BURNSIDE AVE;;Bronx;40.853.839;-73.909.077;5;14
58 BURNSIDE FOOD CORP;58 WEST BURNSIDE AVE;;Bronx;40.854.163;-73.909.767;5;14
65 BURNSIDE MEAT MARKET CORP;65 EAST BURNSIDE AVE;;Bronx;40.853.367;-73.906.146;5;14
ALEX FOOD II CORP;1615 UNIVERSITY AVE;;Bronx;40.847.317;-73.919.933;5;14
BONAO MEATS AND PRODUCE II INC;82 EAST BURNSIDE AVE;;Bronx;40.853.268;-73.905.933;5;14
BURNSIDE AVE FOOD CENTER INC;111 EAST BURNSIDE AVE;;Bronx;40.853.059;-73.905.344;5;14
CRUZ MEAT CORP;2262 JEROME AVE;;Bronx;4.085.815;-73.904.025;5;14
GANDA DELI GROCERY CORP;129 WEST TREMONT AVE;;Bronx;40.850.025;-73.913.756;5;14
GAVA FOOD CORP;127 WEST BURNSIDE AVE;;Bronx;40.853.829;-73.913.899;5;14
JD DELI AND PIZZA INC;2207 JEROME AVE;;Bronx;40.857.217;-73.904.601;5;14
JESSICA SUPERMARKET CORP;1645 GRAND AVE;;Bronx;40.846.985;-7.391.513;5;14
JULIAN GROCERY CORP;143 WEST BURNSIDE AVE;;Bronx;40.853.898;-7.391.434;5;14
LA GRAN FAMOSA FOOD MARKET CORP;1704 GRAND AVE;;Bronx;40.848.507;-73.914.025;5;14
LA PODEROSA GROCERY STORE CORP;27 EAST 175TH ST;;Bronx;40.847.498;-73.911.887;5;14
LOS COMPADRES - 1 GROCERY INC;21 WEST 176TH ST;;Bronx;40.848.468;-73.913.122;5;14
LOS PINOS FOOD CORP;148 EAST BURNSIDE AVE;;Bronx;40.852.452;-73.904.629;5;14
MORRIS BEST DELI AND GRILL INC;16 EAST 183RD ST;;Bronx;40.858.583;-73.903.355;5;14
MY FAMILY DELI GROCERY CORP;54 EAST 181ST ST;;Bronx;40.855.271;-73.904.564;5;14
PALMAR MINI MARKET INC;2160 WALTON AVE;;Bronx;40.855.644;-73.904.491;5;14
PAN DELI GROCERY CORP;1893 ANDREWS AVE;;Bronx;4.085.362;-73.913.889;5;14
PRIMAVERA DELI GROCERY CORP;79 EAST BURNSIDE AVE;;Bronx;40.853.301;-73.905.973;5;14
PUNAL GROCERY CORP;218 WEST TREMONT AVE;;Bronx;4.085.208;-7.391.718;5;14
RAYKELL FOOD CORP;78 WEST 183RD ST;;Bronx;40.859.277;-73.906.546;5;14
SABOR CRIOLLO GROCERY CORP;1841 GRAND CONCOURSE;;Bronx;40.848.022;-73.907.336;5;14
