,Attribute,#_Null,#_Outlier,Unique_values,Most_frequent,Count_Most_Freq,Max,Min
0,id,0,0.0,58639,20350062,2,57353057,1001254
1,NAME,0,,37803,#NAME?,20,🪴🛋🌞 Unique sunny clean brownstone studio 1st floor," Private 1 bdrm Lefferts Gr, BK apt"
2,host id,0,0.0,58639,5638228560,2,98762683230,129756565
3,host_identity_verified,0,,2,verified,29497,verified,unconfirmed
4,host name,0,,9431,Michael,436,青明,(Ari) HENRY LEE
5,neighbourhood group,0,,6,Brooklyn,25157,brookln,Bronx
6,neighbourhood,0,,175,Bedford-Stuyvesant,5017,Woodside,Allerton
7,lat,0,0.0,18465,40.75436,20,40.89631,40.56568
8,long,0,1355.0,14169,-73.9535,26,-73.79861,-74.09686
9,country,0,,1,United States,58990,United States,United States
10,country code,0,,1,US,58990,US,US
11,instant_bookable,0,0.0,2,False,29717,True,False
12,cancellation_policy,0,,3,moderate,19771,strict,flexible
13,room type,0,,4,Entire home/apt,31876,Shared room,Entire home/apt
14,Construction year,0,0.0,20,2015.0,3056,2022.0,2003.0
15,price,0,0.0,1151,206.0,94,1200.0,50.0
16,service fee,0,0.0,231,41.0,326,240.0,10.0
17,minimum nights,0,369.0,56,2.0,14379,91.0,1.0
18,number of reviews,0,1358.0,185,1.0,6153,185.0,1.0
19,last review,0,256.0,2304,2019-06-23 00:00:00,1985,2022-05-21 00:00:00,2012-07-11 00:00:00
20,reviews per month,0,463.0,582,1.0,1283,5.82,0.01
21,review rate number,0,0.0,5,5.0,13557,5.0,1.0
22,calculated host listings count,0,1544.0,62,1.0,33793,96.0,1.0
23,availability 365,0,0.0,426,365.0,1651,426.0,1.0
